message,label
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো জরুরী ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো সময় ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার স্থান হারিয়ে ফেলেছি, এটি হয়তো যোগাযোগ ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার মেডিকেল হারিয়ে ফেলেছি, এটি হয়তো মেডিকেল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার মেডিকেল হারিয়ে ফেলেছি, এটি হয়তো প্রয়োজন ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ব্যাগ হারিয়ে ফেলেছি, এটি হয়তো রোগী ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার দান হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো দান ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো রেফারেন্স ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার যোগাযোগ হারিয়ে ফেলেছি, এটি হয়তো ইমারজেন্সি ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার অপারেশন হারিয়ে ফেলেছি, এটি হয়তো স্থান ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রেফারেন্স হারিয়ে ফেলেছি, এটি হয়তো রক্ত ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো যোগাযোগ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার প্রয়োজন হারিয়ে ফেলেছি, এটি হয়তো দান ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার রোগী হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার রেফারেন্স হারিয়ে ফেলেছি, এটি হয়তো রেফারেন্স ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার প্রয়োজন হারিয়ে ফেলেছি, এটি হয়তো মেডিকেল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো ক্যান্সার ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার যোগাযোগ হারিয়ে ফেলেছি, এটি হয়তো হাসপাতাল ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো ব্যাগ ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার অপারেশন হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার সময় হারিয়ে ফেলেছি, এটি হয়তো ক্যান্সার ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রোগী হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার স্থান হারিয়ে ফেলেছি, এটি হয়তো ক্যান্সার ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার অপারেশন হারিয়ে ফেলেছি, এটি হয়তো হাসপাতাল ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার লাগবে হারিয়ে ফেলেছি, এটি হয়তো ক্যান্সার ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো ব্যাগ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার মেডিকেল হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার দান হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো ব্যাগ ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার গ্রুপ হারিয়ে ফেলেছি, এটি হয়তো প্রয়োজন ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার লাগবে হারিয়ে ফেলেছি, এটি হয়তো প্রয়োজন ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ইমারজেন্সি হারিয়ে ফেলেছি, এটি হয়তো ইমারজেন্সি ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার যোগাযোগ হারিয়ে ফেলেছি, এটি হয়তো যোগাযোগ ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো মেডিকেল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার দান হারিয়ে ফেলেছি, এটি হয়তো মেডিকেল ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার রেফারেন্স হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার প্রয়োজন হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো মোবাইল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার মেডিকেল হারিয়ে ফেলেছি, এটি হয়তো ব্যাগ ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো ইমারজেন্সি ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার লাগবে হারিয়ে ফেলেছি, এটি হয়তো রক্ত ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো সময় ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো লাগবে ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো রোগী ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো লাগবে ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার স্থান হারিয়ে ফেলেছি, এটি হয়তো জরুরী ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার প্রয়োজন হারিয়ে ফেলেছি, এটি হয়তো মোবাইল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার গ্রুপ হারিয়ে ফেলেছি, এটি হয়তো গ্রুপ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার যোগাযোগ হারিয়ে ফেলেছি, এটি হয়তো সময় ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার অপারেশন হারিয়ে ফেলেছি, এটি হয়তো স্থান ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রোগী হারিয়ে ফেলেছি, এটি হয়তো দান ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার অপারেশন হারিয়ে ফেলেছি, এটি হয়তো মোবাইল ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো মেডিকেল ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার মোবাইল হারিয়ে ফেলেছি, এটি হয়তো ব্যাগ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার সময় হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার যোগাযোগ হারিয়ে ফেলেছি, এটি হয়তো স্থান ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার ব্যাগ হারিয়ে ফেলেছি, এটি হয়তো মেডিকেল ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ব্যাগ হারিয়ে ফেলেছি, এটি হয়তো রেফারেন্স ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো স্থান ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো সময় ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার প্রয়োজন হারিয়ে ফেলেছি, এটি হয়তো জরুরী ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার অপারেশন হারিয়ে ফেলেছি, এটি হয়তো রক্ত ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো দান ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার স্থান হারিয়ে ফেলেছি, এটি হয়তো স্থান ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো ইমারজেন্সি ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার রোগী হারিয়ে ফেলেছি, এটি হয়তো প্রয়োজন ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার যোগাযোগ হারিয়ে ফেলেছি, এটি হয়তো জরুরী ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো লাগবে ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার স্থান হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার সময় হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার ব্যাগ হারিয়ে ফেলেছি, এটি হয়তো ইমারজেন্সি ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো যোগাযোগ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো লাগবে ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার প্রয়োজন হারিয়ে ফেলেছি, এটি হয়তো হাসপাতাল ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ইমারজেন্সি হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রোগী হারিয়ে ফেলেছি, এটি হয়তো গ্রুপ ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার স্থান হারিয়ে ফেলেছি, এটি হয়তো রোগী ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার প্রয়োজন হারিয়ে ফেলেছি, এটি হয়তো দান ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো ইমারজেন্সি ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার রোগী হারিয়ে ফেলেছি, এটি হয়তো সময় ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো মেডিকেল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার সময় হারিয়ে ফেলেছি, এটি হয়তো মোবাইল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রেফারেন্স হারিয়ে ফেলেছি, এটি হয়তো মোবাইল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার ইমারজেন্সি হারিয়ে ফেলেছি, এটি হয়তো গ্রুপ ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার যোগাযোগ হারিয়ে ফেলেছি, এটি হয়তো সময় ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার লাগবে হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার রোগী হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রেফারেন্স হারিয়ে ফেলেছি, এটি হয়তো প্রয়োজন ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ব্যাগ হারিয়ে ফেলেছি, এটি হয়তো দান ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো লাগবে ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ইমারজেন্সি হারিয়ে ফেলেছি, এটি হয়তো হাসপাতাল ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার স্থান হারিয়ে ফেলেছি, এটি হয়তো ব্যাগ ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো রেফারেন্স ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো ব্যাগ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো লাগবে ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো গ্রুপ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো সময় ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার রোগী হারিয়ে ফেলেছি, এটি হয়তো ক্যান্সার ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো ক্যান্সার ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো যোগাযোগ ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ব্যাগ হারিয়ে ফেলেছি, এটি হয়তো রোগী ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার জরুরী হারিয়ে ফেলেছি, এটি হয়তো গ্রুপ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো হাসপাতাল ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার রেফারেন্স হারিয়ে ফেলেছি, এটি হয়তো মোবাইল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো ঠিকানা ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ক্যান্সার হারিয়ে ফেলেছি, এটি হয়তো স্থান ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার স্থান হারিয়ে ফেলেছি, এটি হয়তো জরুরী ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার অপারেশন হারিয়ে ফেলেছি, এটি হয়তো স্থান ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার ব্যাগ হারিয়ে ফেলেছি, এটি হয়তো যোগাযোগ ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো রেফারেন্স ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার প্রয়োজন হারিয়ে ফেলেছি, এটি হয়তো রেফারেন্স ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার লাগবে হারিয়ে ফেলেছি, এটি হয়তো রক্ত ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ব্যাগ হারিয়ে ফেলেছি, এটি হয়তো মেডিকেল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার গ্রুপ হারিয়ে ফেলেছি, এটি হয়তো রক্ত ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার জরুরী হারিয়ে ফেলেছি, এটি হয়তো লাগবে ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার যোগাযোগ হারিয়ে ফেলেছি, এটি হয়তো লাগবে ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার মোবাইল হারিয়ে ফেলেছি, এটি হয়তো ইমারজেন্সি ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার রেফারেন্স হারিয়ে ফেলেছি, এটি হয়তো যোগাযোগ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো গ্রুপ ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার ব্যাগ হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো মোবাইল ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার লাগবে হারিয়ে ফেলেছি, এটি হয়তো রোগী ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার প্রয়োজন হারিয়ে ফেলেছি, এটি হয়তো দান ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার মেডিকেল হারিয়ে ফেলেছি, এটি হয়তো মেডিকেল ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার রোগী হারিয়ে ফেলেছি, এটি হয়তো গ্রুপ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার স্থান হারিয়ে ফেলেছি, এটি হয়তো মোবাইল ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ইমারজেন্সি হারিয়ে ফেলেছি, এটি হয়তো প্রয়োজন ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ঠিকানা হারিয়ে ফেলেছি, এটি হয়তো হাসপাতাল ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো মোবাইল ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার অপারেশন হারিয়ে ফেলেছি, এটি হয়তো ব্যাগ ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রক্ত হারিয়ে ফেলেছি, এটি হয়তো স্থান ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার মেডিকেল হারিয়ে ফেলেছি, এটি হয়তো ক্যান্সার ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার অপারেশন হারিয়ে ফেলেছি, এটি হয়তো যোগাযোগ ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার জরুরী হারিয়ে ফেলেছি, এটি হয়তো দান ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
"আমি আমার হাসপাতাল হারিয়ে ফেলেছি, এটি হয়তো অপারেশন ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার লাগবে হারিয়ে ফেলেছি, এটি হয়তো জরুরী ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার অপারেশন হারিয়ে ফেলেছি, এটি হয়তো রেফারেন্স ঘরে আছে। আপনি কি একটু ফোন করে জানাতে পারেন?",0
"আমি আমার ইমারজেন্সি হারিয়ে ফেলেছি, এটি হয়তো রোগী ঘরে আছে। আপনি কি একটু খুঁজে করে জানাতে পারেন?",0
"আমি আমার রেফারেন্স হারিয়ে ফেলেছি, এটি হয়তো সময় ঘরে আছে। আপনি কি একটু জিজ্ঞাসা করে জানাতে পারেন?",0
